Model name                            : MLP_Multistep
The number of input features          : 3
The number of output features         : 2
Optimizer name                        : SGD
Learning rate                         : 0.001
Max number of iterations              : 3000
Number of samples in training data    : 171
Number of samples in tests data       : 73
Total training time                   : 5.1776487827301025
Total number of parameters            : 201902
Percentage of parameters < 1e-9       : 49.70381670315302%
Percentage of parameters < 1e-7       : 49.70381670315302%
Percentage of parameters < 1e-6       : 49.70480728274113%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [275]: 1.3158932501052543
Loss at iteration [276]: 1.3154137232191394
Loss at iteration [277]: 1.314936822768713
Loss at iteration [278]: 1.31446323054552
Loss at iteration [279]: 1.3139919433793184
Loss at iteration [280]: 1.3135242514753165
Loss at iteration [281]: 1.313059309441026
Loss at iteration [282]: 1.3125970798992879
Loss at iteration [283]: 1.3121378993899724
Loss at iteration [284]: 1.3116813020327898
Loss at iteration [285]: 1.3112274399731112
Loss at iteration [286]: 1.3107760642366684
Loss at iteration [287]: 1.3103270694647267
Loss at iteration [288]: 1.3098806828912644
Loss at iteration [289]: 1.3094373862519262
Loss at iteration [290]: 1.3089960968781105
Loss at iteration [291]: 1.3085577771042733
Loss at iteration [292]: 1.3081220082215912
Loss at iteration [293]: 1.307688992574668
Loss at iteration [294]: 1.3072590598927023
Loss at iteration [295]: 1.3068319321429687
Loss at iteration [296]: 1.3064072863266707
Loss at iteration [297]: 1.305985234580314
Loss at iteration [298]: 1.305564593396815
Loss at iteration [299]: 1.3051461064704029
Loss at iteration [300]: 1.3047300620119062
Loss at iteration [301]: 1.3043165935205419
Loss at iteration [302]: 1.3039065505622625
Loss at iteration [303]: 1.3034988161551775
Loss at iteration [304]: 1.3030939007250604
Loss at iteration [305]: 1.3026918141564392
Loss at iteration [306]: 1.3022928702444647
Loss at iteration [307]: 1.3018964539229916
Loss at iteration [308]: 1.301501431315214
Loss at iteration [309]: 1.3011100639639581
Loss at iteration [310]: 1.3007218203538198
Loss at iteration [311]: 1.3003352333013225
Loss at iteration [312]: 1.2999509991682823
Loss at iteration [313]: 1.2995685231532275
Loss at iteration [314]: 1.2991881951080038
Loss at iteration [315]: 1.2988104772713052
Loss at iteration [316]: 1.298435908170675
Loss at iteration [317]: 1.2980641095018344
Loss at iteration [318]: 1.2976948482287494
Loss at iteration [319]: 1.297328242879748
Loss at iteration [320]: 1.2969643520014718
Loss at iteration [321]: 1.2966029022685206
Loss at iteration [322]: 1.2962444487732245
Loss at iteration [323]: 1.295887951740358
Loss at iteration [324]: 1.2955340169117948
Loss at iteration [325]: 1.295182881534094
Loss at iteration [326]: 1.2948339242355633
Loss at iteration [327]: 1.2944878766927406
Loss at iteration [328]: 1.2941444101449033
Loss at iteration [329]: 1.2938035687682117
Loss at iteration [330]: 1.2934653574391743
Loss at iteration [331]: 1.2931295753639425
Loss at iteration [332]: 1.2927961926726246
Loss at iteration [333]: 1.292465161175716
Loss at iteration [334]: 1.292135966955508
Loss at iteration [335]: 1.2918090955675503
Loss at iteration [336]: 1.2914842161366835
Loss at iteration [337]: 1.2911614224589305
Loss at iteration [338]: 1.2908407418112233
Loss at iteration [339]: 1.2905227559638097
Loss at iteration [340]: 1.2902068719513071
Loss at iteration [341]: 1.2898932453112768
Loss at iteration [342]: 1.2895822919046729
Loss at iteration [343]: 1.2892745732337545
Loss at iteration [344]: 1.2889684080964061
Loss at iteration [345]: 1.288665269481561
Loss at iteration [346]: 1.288364854058857
Loss at iteration [347]: 1.2880668183895652
Loss at iteration [348]: 1.2877709011924416
Loss at iteration [349]: 1.2874775782811383
Loss at iteration [350]: 1.2871871837450564
Loss at iteration [351]: 1.2869000326298552
Loss at iteration [352]: 1.286615530968324
Loss at iteration [353]: 1.2863332836691206
Loss at iteration [354]: 1.2860538824596128
Loss at iteration [355]: 1.2857761066167044
Loss at iteration [356]: 1.2855002171232734
Loss at iteration [357]: 1.2852258266644137
Loss at iteration [358]: 1.2849537531563018
Loss at iteration [359]: 1.284684209937136
Loss at iteration [360]: 1.2844163684951502
Loss at iteration [361]: 1.284151182148616
Loss at iteration [362]: 1.2838877283108185
Loss at iteration [363]: 1.283626740464078
Loss at iteration [364]: 1.2833678685498222
Loss at iteration [365]: 1.2831108622793017
Loss at iteration [366]: 1.2828560604833872
Loss at iteration [367]: 1.2826032144966075
Loss at iteration [368]: 1.282352770424391
Loss at iteration [369]: 1.2821045618511882
Loss at iteration [370]: 1.2818583801614218
Loss at iteration [371]: 1.2816143992854958
Loss at iteration [372]: 1.2813721766790511
Loss at iteration [373]: 1.2811327414922604
Loss at iteration [374]: 1.28089487335347
Loss at iteration [375]: 1.2806593331171625
Loss at iteration [376]: 1.2804261391472451
Loss at iteration [377]: 1.280195151968332
Loss at iteration [378]: 1.2799660819584973
Loss at iteration [379]: 1.2797388658064885
Loss at iteration [380]: 1.2795138561166841
Loss at iteration [381]: 1.2792910320340416
Loss at iteration [382]: 1.2790698714945572
Loss at iteration [383]: 1.278850909879915
Loss at iteration [384]: 1.2786341357269957
Loss at iteration [385]: 1.2784191181784121
Loss at iteration [386]: 1.278206289995102
Loss at iteration [387]: 1.2779950749674787
Loss at iteration [388]: 1.2777860060373467
Loss at iteration [389]: 1.2775789763878642
Loss at iteration [390]: 1.2773741312118152
Loss at iteration [391]: 1.2771711277935847
Loss at iteration [392]: 1.2769704267213273
Loss at iteration [393]: 1.2767724148561554
Loss at iteration [394]: 1.276575469546968
Loss at iteration [395]: 1.276381015539987
Loss at iteration [396]: 1.2761879905397278
Loss at iteration [397]: 1.2759967913632062
Loss at iteration [398]: 1.275808302917883
Loss at iteration [399]: 1.2756207508360093
Loss at iteration [400]: 1.2754352019961916
Loss at iteration [401]: 1.2752509891325492
Loss at iteration [402]: 1.2750672691551972
Loss at iteration [403]: 1.2748851797252463
Loss at iteration [404]: 1.2747044277647621
Loss at iteration [405]: 1.2745253532164345
Loss at iteration [406]: 1.274347692495652
Loss at iteration [407]: 1.274171871328801
Loss at iteration [408]: 1.2739978601724002
Loss at iteration [409]: 1.2738255514342285
Loss at iteration [410]: 1.2736543490012027
Loss at iteration [411]: 1.2734851800302045
Loss at iteration [412]: 1.27331762806226
Loss at iteration [413]: 1.2731516453847347
Loss at iteration [414]: 1.2729868764272076
Loss at iteration [415]: 1.272824121322575
Loss at iteration [416]: 1.2726627294907396
Loss at iteration [417]: 1.2725027793445274
Loss at iteration [418]: 1.2723443872076077
Loss at iteration [419]: 1.272187660413725
Loss at iteration [420]: 1.2720326461939446
Loss at iteration [421]: 1.271878546826648
Loss at iteration [422]: 1.2717261753618347
Loss at iteration [423]: 1.2715753051668566
Loss at iteration [424]: 1.2714258173109676
Loss at iteration [425]: 1.271277759777613
Loss at iteration [426]: 1.2711312305220215
Loss at iteration [427]: 1.270986077405881
Loss at iteration [428]: 1.2708427950697718
Loss at iteration [429]: 1.2707008508027797
Loss at iteration [430]: 1.2705603807516737
Loss at iteration [431]: 1.2704211850622267
Loss at iteration [432]: 1.2702837176394495
Loss at iteration [433]: 1.270147529041444
Loss at iteration [434]: 1.2700135457327233
Loss at iteration [435]: 1.2698801265889945
Loss at iteration [436]: 1.2697486350466292
Loss at iteration [437]: 1.269619066306151
Loss at iteration [438]: 1.2694906432370687
Loss at iteration [439]: 1.2693634937030773
Loss at iteration [440]: 1.2692380734501858
Loss at iteration [441]: 1.2691139606049158
Loss at iteration [442]: 1.2689909938059374
Loss at iteration [443]: 1.2688691731825414
Loss at iteration [444]: 1.2687486232217993
Loss at iteration [445]: 1.2686292104086214
Loss at iteration [446]: 1.2685108578905289
Loss at iteration [447]: 1.268393796972389
Loss at iteration [448]: 1.2682777456588143
Loss at iteration [449]: 1.268162870710595
Loss at iteration [450]: 1.2680492746289462
Loss at iteration [451]: 1.2679365457336333
Loss at iteration [452]: 1.267825507493538
Loss at iteration [453]: 1.2677149222151933
Loss at iteration [454]: 1.267605769835687
Loss at iteration [455]: 1.2674976943771306
Loss at iteration [456]: 1.267390590842304
Loss at iteration [457]: 1.2672845407068234
Loss at iteration [458]: 1.2671794849962243
Loss at iteration [459]: 1.2670754740786925
Loss at iteration [460]: 1.2669727537037376
Loss at iteration [461]: 1.266870961327939
Loss at iteration [462]: 1.2667700362379142
Loss at iteration [463]: 1.2666703190464372
Loss at iteration [464]: 1.2665714201210025
Loss at iteration [465]: 1.2664734686649293
Loss at iteration [466]: 1.266376663086057
Loss at iteration [467]: 1.2662803362242299
Loss at iteration [468]: 1.2661852807767828
Loss at iteration [469]: 1.2660910956985243
Loss at iteration [470]: 1.2659977038873047
Loss at iteration [471]: 1.2659055055278352
Loss at iteration [472]: 1.2658139969950835
Loss at iteration [473]: 1.265723352288424
Loss at iteration [474]: 1.2656340108926978
Loss at iteration [475]: 1.2655452115039454
Loss at iteration [476]: 1.2654578786636168
Loss at iteration [477]: 1.2653708151878678
Loss at iteration [478]: 1.2652854911142735
Loss at iteration [479]: 1.2652008900761273
Loss at iteration [480]: 1.2651171253180846
Loss at iteration [481]: 1.2650339667781951
Loss at iteration [482]: 1.2649518879311303
Loss at iteration [483]: 1.2648707398512193
Loss at iteration [484]: 1.2647903420592315
Loss at iteration [485]: 1.2647105325448271
Loss at iteration [486]: 1.2646315665008603
Loss at iteration [487]: 1.2645536135538056
Loss at iteration [488]: 1.2644760816736835
Loss at iteration [489]: 1.264399526330023
Loss at iteration [490]: 1.264324039818586
Loss at iteration [491]: 1.264249482706266
Loss at iteration [492]: 1.2641751500636917
Loss at iteration [493]: 1.264101836744728
Loss at iteration [494]: 1.2640289285575075
Loss at iteration [495]: 1.2639567141916257
Loss at iteration [496]: 1.2638851584634736
Loss at iteration [497]: 1.2638141680048232
Loss at iteration [498]: 1.263743822154134
Loss at iteration [499]: 1.26367420595805
Loss at iteration [500]: 1.2636053102383447
Loss at iteration [501]: 1.2635372871636035
Loss at iteration [502]: 1.2634697838466933
Loss at iteration [503]: 1.2634030549250075
Loss at iteration [504]: 1.2633372270373107
Loss at iteration [505]: 1.2632715963447068
Loss at iteration [506]: 1.2632073143122358
Loss at iteration [507]: 1.263143056939709
Loss at iteration [508]: 1.2630795172936
Loss at iteration [509]: 1.2630163961845788
Loss at iteration [510]: 1.2629540878610122
Loss at iteration [511]: 1.2628922777088658
Loss at iteration [512]: 1.2628312152645012
Loss at iteration [513]: 1.2627704066865437
Loss at iteration [514]: 1.2627104389188708
Loss at iteration [515]: 1.2626506951118706
Loss at iteration [516]: 1.2625916774237063
Loss at iteration [517]: 1.2625331456236635
Loss at iteration [518]: 1.2624754201185582
Loss at iteration [519]: 1.2624180161955296
Loss at iteration [520]: 1.2623613435265402
Loss at iteration [521]: 1.2623050224927903
Loss at iteration [522]: 1.2622486134785307
Loss at iteration [523]: 1.2621930040560838
Loss at iteration [524]: 1.2621379293899804
Loss at iteration [525]: 1.262083401804044
Loss at iteration [526]: 1.2620291850707375
Loss at iteration [527]: 1.2619756271585594
Loss at iteration [528]: 1.2619223587973776
Loss at iteration [529]: 1.2618698672650641
Loss at iteration [530]: 1.2618175949031103
Loss at iteration [531]: 1.261765717845767
Loss at iteration [532]: 1.2617144521707884
Loss at iteration [533]: 1.2616637876399555
Loss at iteration [534]: 1.261613027008461
Loss at iteration [535]: 1.2615633321954334
Loss at iteration [536]: 1.2615137820296154
Loss at iteration [537]: 1.2614648135822442
Loss at iteration [538]: 1.2614161671056763
Loss at iteration [539]: 1.261367774040805
Loss at iteration [540]: 1.261319925350609
Loss at iteration [541]: 1.261272618732573
Loss at iteration [542]: 1.2612252149812646
Loss at iteration [543]: 1.2611784467382838
Loss at iteration [544]: 1.2611316809726694
Loss at iteration [545]: 1.2610857943430411
Loss at iteration [546]: 1.2610398509827747
Loss at iteration [547]: 1.2609944174617271
Loss at iteration [548]: 1.2609494498074731
Loss at iteration [549]: 1.2609045582415987
Loss at iteration [550]: 1.260860249504565
Loss at iteration [551]: 1.260816254483618
Loss at iteration [552]: 1.2607725967228043
Loss at iteration [553]: 1.2607293276463203
Loss at iteration [554]: 1.2606860108763787
Loss at iteration [555]: 1.2606434601373087
Loss at iteration [556]: 1.2606011135146888
Loss at iteration [557]: 1.2605593559628887
Loss at iteration [558]: 1.2605176852616458
Loss at iteration [559]: 1.2604767493659539
Loss at iteration [560]: 1.2604358253266343
Loss at iteration [561]: 1.2603954512611693
Loss at iteration [562]: 1.2603553334405988
Loss at iteration [563]: 1.2603154428282806
